Color,Hex Code,Emotion,Fashion Trend,Mood description,Icon,Mood,StyleTrend,Description,SassyComment,Emoji
Brown,#A52A2A,"Stability, Comfort",Autumn Wear,"Warm, Earthy",Oprah Winfrey,Glamorous,Evening Wear,"Glamorous evening gowns, sequins, and luxury accessories.",You own the night in that glam outfit! ✨,✨💖
Grey,#808080,"Neutrality, Calm",Professional Wear,"Balanced, Cool",Zoe Kravitz,Adventurous,Outdoor Clothing,Rugged outdoor clothing for adventurous activities.,Adventure awaits! Get ready for the outdoors. 🌲,🌲🗺️
Indigo,#4B0082,"Intuition, Wisdom",Intellectual Fashion,"Deep, Focused",Natalie Portman,Sophisticated,Luxury Fashion,"Clean lines, high-end fabrics, and sophistication.",Elegance is key. You were born for luxury. 💎,💎👗
Aqua,#00FFFF,"Clarity, Healing",Resort Wear,"Fresh, Soothing",Selena Gomez,Edgy,Grunge-Inspired,"Dark colours, layered clothing, and edgy accessories.","Grunge it up, babe. Be edgy and cool. 🖤",🖤🎧
Violet,#EE82EE,"Spiritual, Romantic",Vintage Fashion,"Dreamy, Elegant",Lady Gaga,Chic,Tailored Suits,"Tailored suits, modern silhouettes, and sleek designs.","Chic and sleek, darling. You’ve got this. ✨",✨💁‍♀️
Gold,#FFD700,"Luxury, Wealth",Evening Wear,"Opulent, Glamorous",Kim Kardashian,Comfortable,Loungewear,Comfortable and stylish loungewear for a relaxed vibe.,"Comfy, cozy, and chic. Perfect for lounging. 😴",😴🛏️
Silver,#C0C0C0,"Modern, Futuristic",Metallic Fashion,"Sleek, Techy",Nara Smith,Mystical,Bohemian Vibes,"Flowy layers, loose silhouettes, and dreamy colours.",Let your boho spirit fly free! 🌙,🌙🌻
Teal,#008080,"Balance, Serenity",Coastal Wear,"Peaceful, Calm",Blake Lively,Excited,Neon Brights,"Bright neon, bold patterns, and statement accessories.","Turn heads in neon, babe. The world’s your runway! 🌟",🌟💫
Maroon,#800000,"Strength, Courage",Power Dressing,"Bold, Assertive",Serena Williams,Sexy,Figure-Hugging Outfits,"Tight, figure-flattering dresses, and sleek heels.","Show them what confidence looks like, darling. 💋",👠🔥
Lavender,#E6E6FA,"Relaxation, Calm",Soft Chic,"Tranquil, Restful",Emma Stone,Rebellious,Vintage Clothing,"Vintage clothing with a rebellious twist, ripped jeans.","Vintage vibes, let’s go rebellious! ✌️",🎸🎤
Coral,#FF7F50,"Warmth, Joy",Summer Dresses,"Playful, Warm",Taylor Swift,Confused,Casual Chic,"Comfy clothing, mismatched for a relaxed vibe.",Mismatched? Who cares. You’re fabulous anyway! 😎,🌿🌎
Peach,#FFDAB9,"Serenity, Calmness",Casual Summer Wear,"Soft, Gentle",Scarlett Johansson,Proud,Bold Slogans,"T-shirts with empowering slogans, and graphic designs.",Stand tall in that slogan tee. Own your truth! 💪,🎨💥
Mint,#98FF98,"Freshness, Vitality",Spring Fashion,"Light, Uplifting",Lily Collins,Flirty,Cute Skirts,"Fun, flirty skirts and tops, with delicate accessories.","Flirt with the world, darling. You’ve got the charm! 💕",🖤🌘
Salmon,#FA8072,"Comfort, Warmth",Casual Fashion,"Cozy, Homely",Jessica Alba,Focused,Tailored Suits,"Sharp tailored suits, professional accessories, and smart shoes.","Focus and slay, boss. You’re unstoppable! 👔",👟💨
Tan,#D2B48C,"Stability, Simplicity",Earthy Fashion,"Relaxed, Soothing",Billie Eilish,Caring,Earth Tones,"Earthy colours, eco-friendly materials, and soft textures.",Eco-chic! Save the planet in style. 🌍,🎶🕺
Khaki,#F0E68C,"Neutrality, Peace",Military Inspired Fashion,"Subtle, Strong",Kate Moss,Curious,Mixing Patterns,Mixing and matching bold patterns for an experimental look.,"Mix it up, make it pop! Fashion’s your playground. 🎨",🌸💖
Burgundy,#800020,"Power, Confidence",Luxe Fashion,"Deep, Confident",Rihanna,Grumpy,Dark Tones,"Dark tones, oversized clothing for a laid-back vibe.","Dark and moody, but oh so cool. 🖤",💁‍♀️💋
Charcoal,#36454F,"Strength, Authority",Professional Style,"Serious, Commanding",Naomi Campbell,Energetic,Athletic Vibes,"Athleisure, comfortable joggers, and sporty sneakers.","Get moving, babe. You’re unstoppable! 💥",💥👟
Charcoal,#36454F,"Strength, Authority",Professional Style,"Serious, Commanding",Naomi Campbell,Energetic,Sporty Looks,Sporty looks with a mix of casual and athletic pieces.,"Run, jump, and look fab. Athleisure goals! 👟",✨💎
Lemon,#FFF700,"Cheerfulness, Fun",Casual Daywear,"Bright, Lively",Zendaya,Nostalgic,Retro-Inspired,"Retro vintage-inspired looks, and quirky patterns.","Back in time, babe. Retro is the new now! 🎶",🌼☀️
Periwinkle,#CCCCFF,"Calm, Peaceful",Soft Fashion,"Gentle, Relaxing",Blake Lively,Mellow,Soft Pastels,"Soft pastel colours, and airy, relaxed outfits.",Pastels make everything softer. You look angelic! 🌸,🎯🏅
